"","mission.corp6"
"474298532 2016"," raise awareness   dangers associated   use  prescription   gateway drugs  hosting family day hikes  similar events promoting healthy family fun  will raise funds  coordinate specific targeted prevention education events"
"474306428 2017","help individuals afford  benefits"
"474315874 2016"," purpose   harlingen wellness coaltion inc   promote multi modal active transportation health  wellness  harlingen   surrounding low-income areas  cameron county  engaging  advocacy outreach fundraising public awareness programming  educational activities focused  bicycle pedestrian traffic safety  aquatic activities"
"474320971 2017"," purpose   corporation shall   establish   preserve military artifacts  previous wars  conflicts  order  promote pine bluff arsenal veterans   military history  visual  physical displays"
"474326433 2017"," north shore nordic association will promote  implement winter trail use  existing essex country trails  open spaces"
"474333365 2016"," women's bakery offers women  choicea choice  learn new skills improve  communities  better  lives   lives   families   choice opportunity  empowerment  born"
"474337807 2017"," entity  established  raise funds  provide golf instruction  equipment  local youngsters   otherwise    chance  learn   participate   game  golf"
"474353630 2016"," mission  impact 100 global advisory council   encourage collaboration  sharing  best practices among impact 100 groups  allow  continued growth  sustainability  impact 100 around  world  will create world class strategic philanthropy  transform communities  significant grants   equip individuals  become effective philanthropists  guide   amplify  success  positive change"
"474354454 2016","educate develop promote  administer soccer officials encourage  assist   development  community soccer programs"
"474364468 2016","pursue charitable  educational activities  strenghten"
"474364468 2017","pursue charitable  educational activities  strengthen connecticut's african american black communities  areas   economic development education  health"
"474366487 2016","greg lindmark foundation  confidential program  lessen  impact  cumulative stress  trauma  police officers  providing education  support programs  enhance  emotional well-being"
"474368843 2017","public service  education"
"474370077 2017","sustain nautural recreational culture"
"474386830 2016"," save abused neglected  dumped dogs  se dallas"
"474396234 2016"," organization  committed   education  aviation warbird history  ensure   public understands  historical significance   aircraft additional significant missions   organization  youth education  leadership training related  aircraft  piloting  well  preserving  restoring aircraft   education benefit   ages"
"474407866 2016"," mission   support  functioning  operation  st james  great episcopal church newport beach ca st james  great  creatively building  21st century inclusive relevant  dynamic spiritual community whose mission  spreading  gospel   world"
"474407866 2017","see schedule o"
"474421482 2017"," little rock rangers strive  improve soccer   greater central arkansas area  bringing  top quality players  coaches  will help  local youth  high level coaching  role model examples    sport   played one   goals   club    able  provide local soccer club scholarships  underprivileged  motivated children   area  will    extra revenue  ticket sales  donations received"
