"","programs.corp6"
"820696739 2017","affirmative asylum  lgbtqia affirmative asylum program   1 year old    already  second-largest lgbtqia asylum program   country   knowledge since may 16 2017   filed  180 new asylum applications  represented 69 clients  asylum interviews   58 received asylum grants  11 received recommended approvals  asylum approval rate   past year  100"
"820714055 2017","providing benefits  local families  need  various resources regarding health medical circumstances"
"820752989 2016","rgv bandidas   roller derby league  promotes womens health  comaraderie  sport  competition   roller derby organizations"
"820771399 2017"," honor veterans  purchasing  raising  national flag   lighted flagpole   veteran's house"
"820772564 2017"," support activities   school's parent teacher organizations  raise funds  various school activities  support meetings  conferences  facilitate cooperation  parent  teachers  support programs  enhance  mission  enhance  quality   school's program"
"820784445 2017","held  christmas day event  provide  meal  families  well  gifts   children"
"820786473 2017"," description"
"820796617 2017","organization  funded    officers 18 underprivileged students  able  go school  haiti  goal   help familes  become self sufficient"
"820857998 2017"," primary method    corporation will obtain revenues  donations   purchase engineer  otherwise source physical products   sold"
"820881435 2017"," train  place service dogs  veterans suffering  physical  non-physical conditions"
"820882943 2017","supported oriental doctors's research develop  oriental medecine"
"820889805 2017","provide youth sports activityapprox 60  90 participants ages ranging  5  14"
"820921984 2017"," school tutuorial program provided scholarships  student tutors  awarded incentives  tutees  good academic performance"
"820949312 2017","  raise money  build  inclusive playground  also realize  importance  community   working  make neighborhood playgrounds inclusive  lubird's light foundation  donating supported swings  denver parks  recreation   swings   added  existing playgrounds  ensure   something  everyone   playgrounds.so far swings   placed   following public playgrounds city park cheesman park congress park  central park  stapleton"
"821007405 2017"," journey  formed  provide billing assistance  support  recipients  benefits   developmentally disabled dd waiver program  dd waiver   program administered   new mexico department  health   designed  provide supporting services  assist eligible children  adults  intellectual  developmental disabilities idd  participate  active members   communities  helping  clients secure  maintain  dd waiver funding  journey  promoting quality  life   individuals   respectful  effective manner"
"821024362 2017","provide tennis lessons  underprivelidged children"
"821077370 2017","knox blocks foundation  able  raise enough funds  buy  donate 1223 owlets  12 months since  started additionally   able  get 353  owlets  donations   manufacturer    owlet  infant heart rate  oxygen monitor   equipment  helps monitor   check   baby infant  smarter way  know theyre okay.instead  studying  screen  jumping  every five minutes  check   baby  smart sock will proactively notify   lights  sound  oxygen  heart rate go outside  preset zones"
